UID,code3,FIPS,Admin2,Province_State,3/31/21
84016049,840,16049,Idaho,Idaho,1174
84016051,840,16051,Jefferson,Idaho,2816
84016053,840,16053,Jerome,Idaho,2535
84016055,840,16055,Kootenai,Idaho,17185
84016057,840,16057,Latah,Idaho,2917
84016059,840,16059,Lemhi,Idaho,516
84016061,840,16061,Lewis,Idaho,385
84016063,840,16063,Lincoln,Idaho,494
84016065,840,16065,Madison,Idaho,6867
84016067,840,16067,Minidoka,Idaho,2314
84016069,840,16069,Nez Perce,Idaho,3479
84016071,840,16071,Oneida,Idaho,347
84080016,840,80016,Out of ID,Idaho,0
84016073,840,16073,Owyhee,Idaho,1038
84016075,840,16075,Payette,Idaho,2453
84016077,840,16077,Power,Idaho,648
84016079,840,16079,Shoshone,Idaho,1047
84016081,840,16081,Teton,Idaho,1158
84016083,840,16083,Twin Falls,Idaho,9138
84090016,840,90016,Unassigned,Idaho,0
84016085,840,16085,Valley,Idaho,826
84016087,840,16087,Washington,Idaho,1198
84017001,840,17001,Adams,Illinois,8075
84017003,840,17003,Alexander,Illinois,456
84017005,840,17005,Bond,Illinois,1939
84017007,840,17007,Boone,Illinois,6112
84017009,840,17009,Brown,Illinois,680
84017011,840,17011,Bureau,Illinois,3421
